Property,Assignee,Boulder Grants,Completed on,Delay,Due,Parent-task,Priority,Status,Sub-tasks,Tags
1023 501(c)(3) filing,,DC Operations (DC%20Operations%20139faa2a7b8a80aaaad6faefad450cd6.md),,,,,,Done,,
Bylaws review,,DC Operations (DC%20Operations%20139faa2a7b8a80aaaad6faefad450cd6.md),,,,,,Done,,
Bylaws signing,,DC Operations (DC%20Operations%20139faa2a7b8a80aaaad6faefad450cd6.md),,,,,,Done,,
