Property,Assignee,Boulder Grants,Completed on,Delay,Due,Parent-task,Priority,Status,Sub-tasks,Tags
"Write copy ","Dank PHART the Pirate Poet ",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,,,High,Done,,
"Organize links, and other assets in one place","Dank PHART the Pirate Poet ",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,,,High,In Progress,,
"Write up draft of idea for conference ","Dank PHART the Pirate Poet ",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,,,High,In Progress,,
Brain storm Ideas for NFT to offer as perk,"Grig B, Dank PHART the Pirate Poet ",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,,,High,Not Started,,
"Outline practical elements of conference, budget etc…etc… low to high numbers. Minimum to run it.","Dank PHART the Pirate Poet , Heidi Petty, Grig B",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,"December 20, 2024",,High,In Progress,,
Developing marketing plan,,DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,,,High,Not Started,,
Boulder Grant writing support grant,"Dank PHART the Pirate Poet ",DC Funding HOME (DC%20Funding%20HOME%20139faa2a7b8a80669049e157b3ee10d6.md),,,"December 13, 2024",,High,In Progress,,
