Property,Assignee,Boulder Grants,Completed on,Delay,Due,Parent-task,Priority,Status,Sub-tasks,Tags
Write up proposal for Gitcoin art grant round,"Dank PHART the Pirate Poet ",Collaborations (Collaborations%205e733ce740fe4307b324ce4898ac7c75.md),,,"November 29, 2024",,High,Done,,Development
Make pitch deck for Gitcoin Art Grant round,,Collaborations (Collaborations%205e733ce740fe4307b324ce4898ac7c75.md),,,,,High,Not Started,,Development
